index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
array-dblclockfft_butterfly_ck1-p304.smt2,,,3,5,5,10,10,10,45,,28,19,20,22,,,938.37,27.96,unsat,1.37,0.01,,0.00,,0.00,0.63,0.51,,,0.00,,0.02,0.72,0.20,0.51,0.04,0.22,
array-dblclockfft_butterfly_ck1-p309.smt2,,,,4,4,5,3,8,18,,18,11,5,13,,,936.20,23.03,unsat,0.90,0.01,,0.00,,0.00,0.22,0.16,,,0.00,,0.01,0.26,0.07,0.18,0.01,0.04,
array-dblclockfft_butterfly_ck1-p310.smt2,,,5,6,6,31,8,21,43,,46,34,5,39,,,938.37,135.18,unsat,8.71,0.04,0.00,0.01,0.00,0.01,7.16,1.89,,0.00,0.01,0.01,0.09,7.46,0.50,6.94,0.14,5.64,
array-dblclockfft_butterfly_ck1-p333.smt2,,,9,10,10,84,35,72,119,,129,110,21,118,,,938.37,191.20,unsat,25.58,0.12,0.00,0.03,0.01,0.06,17.75,9.23,,0.01,0.02,0.01,0.40,18.94,1.59,17.32,0.65,11.87,
array-dblclockfft_butterfly_ck1-p341.smt2,,,7,9,9,80,33,65,296,,172,154,134,162,,,938.37,112.78,unsat,19.87,0.21,0.01,0.08,0.01,0.08,17.01,11.69,,0.02,0.01,0.01,0.52,18.70,3.00,15.67,0.87,9.24,
array-dblclockfft_butterfly_ck1-p343.smt2,,,9,10,10,88,55,84,627,,223,203,405,212,,,938.37,115.97,unsat,24.11,0.35,0.01,0.16,0.02,0.11,20.09,15.59,,0.04,0.01,0.01,0.84,22.69,5.04,17.62,1.34,7.22,
array-dblclockfft_butterfly_ck1-p346.smt2,,,11,13,13,212,39,145,572,,289,264,149,275,,,940.11,374.54,unsat,123.89,0.35,0.01,0.10,0.02,0.16,80.75,55.29,,0.15,0.02,0.02,1.34,85.47,16.69,68.74,2.19,46.97,
array-dblclockfft_butterfly_ck1-p348.smt2,,,5,6,6,49,7,38,147,,64,52,107,57,,,938.37,48.25,unsat,5.15,0.05,0.00,0.02,0.00,0.01,3.85,3.07,,0.00,0.01,0.01,0.12,4.26,0.56,3.68,0.20,2.34,
array-dblclockfft_butterfly_ck1-p351.smt2,,,12,13,13,175,74,130,520,1,258,233,160,244,,,940.11,194.68,unsat,65.39,0.26,0.01,0.05,0.02,0.13,59.51,48.95,,0.10,0.02,0.02,1.16,63.42,13.30,50.08,1.93,31.53,
array-dblclockfft_butterfly_ck1-p352.smt2,,,8,9,9,72,29,54,141,,112,95,31,102,,,938.37,120.71,unsat,18.40,0.09,0.00,0.02,0.01,0.04,12.97,7.69,,0.01,0.01,0.01,0.30,13.93,1.80,12.10,0.51,8.03,
