index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
array-dblclockfft_butterfly_ck3_r2-p151.smt2,,,8,8,8,136,27,97,365,,202,183,141,193,,,1386.59,1271.58,timeout,405.71,12.26,0.49,8.93,0.27,2.27,308.02,231.87,,0.09,0.01,0.01,0.60,322.55,136.73,185.80,1.00,136.20,
array-dblclockfft_butterfly_ck3_r2-p154.smt2,,,9,11,11,250,95,265,1097,6,426,392,549,416,,,1229.99,1150.59,timeout,650.76,14.06,0.64,10.10,0.40,1.65,623.68,466.56,,0.53,0.01,0.01,2.78,646.38,60.44,585.91,4.01,489.37,
array-dblclockfft_butterfly_ck3_r2-p155.smt2,,,,18,17,437,113,260,3835,11,575,545,2475,560,,,1267.42,1228.54,timeout,899.97,13.18,0.82,9.94,0.41,1.71,658.85,607.43,,1.19,0.01,0.01,2.69,686.65,179.32,507.27,4.82,387.48,
array-dblclockfft_butterfly_ck3_r2-p156.smt2,,,5,6,6,27,17,61,269,,99,87,181,92,,,193.81,74.89,timeout,5.92,0.06,0.00,0.02,0.00,0.02,5.42,4.03,,0.01,0.00,,0.04,5.73,1.94,3.77,0.10,2.75,
array-dblclockfft_butterfly_ck3_r2-p173.smt2,,,,10,9,179,31,100,362,12,207,181,97,197,,,5110.23,4413.22,timeout,899.97,247.89,11.54,191.12,6.03,34.71,425.81,122.71,,0.20,0.01,0.01,3.09,679.99,53.17,626.79,3.67,269.13,
array-easy_zero_array.smt2,,,,35,34,70,25,34,332,,136,38,184,101,,,,,,,0.29,0.02,0.16,0.01,0.09,2.05,0.22,1.24,0.00,0.00,,0.02,2.65,0.73,1.82,0.05,0.72,
array-marlann_compute_fail1-p0.smt2,,,,13,12,14,9,,62,3,43,27,9,34,,,,,,,0.02,,0.00,0.00,0.01,2.44,0.35,1.90,,0.11,0.11,0.05,2.68,0.70,1.93,0.08,0.81,
array-marlann_compute_fail1-p1.smt2,,,10,12,12,89,8,93,71,9,121,108,12,113,,,248.89,231.54,timeout,64.19,0.14,0.00,0.04,0.01,0.07,62.40,15.27,45.73,,0.10,0.10,0.36,63.57,0.91,62.62,0.54,45.21,
array-marlann_compute_fail1-p2.smt2,,,12,13,13,119,8,102,791,112,220,187,541,207,,,124.12,109.04,timeout,47.07,0.40,0.02,0.17,0.01,0.16,44.17,4.58,36.43,,0.11,0.11,0.51,46.42,6.10,40.29,0.78,30.25,
array-marlann_compute_fail2-p1.smt2,,,,13,12,29,10,16,84,1,60,45,17,51,,,,,,,0.05,0.00,0.01,0.00,0.03,5.56,0.02,5.21,,0.11,0.10,0.10,5.99,1.10,4.85,0.15,3.49,
