index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
bv-qspiflash_dualflexpress_divfive-p154.smt2,,,,19,18,1600,486,446,6088,78,1716,1690,2932,1703,,,462.55,443.87,timeout,899.98,11.59,0.70,7.05,0.48,2.95,668.33,548.04,,2.73,0.09,0.08,10.00,714.72,134.26,580.40,17.98,453.81,
bv-qspiflash_dualflexpress_divfive-p161.smt2,,,,19,18,1421,1145,311,7883,84,1627,1615,3295,1628,,,459.64,459.64,timeout,899.98,11.88,0.79,7.34,0.50,2.93,565.51,470.04,,5.38,0.09,0.08,9.45,613.73,164.00,449.68,16.60,343.13,
bv-qspiflash_dualflexpress_divfive-p164.smt2,,,,19,18,1759,380,500,10594,115,1948,1938,5889,1948,,,512.68,498.06,timeout,899.97,9.37,0.53,5.08,0.43,2.89,797.20,657.22,,6.85,0.09,0.08,12.13,855.62,241.01,614.55,21.61,471.06,
bv-qspiflash_dualflexpress_divthree-p005.smt2,,,6,9,9,213,14,309,458,24,366,355,206,359,,,81.99,73.09,unsat,31.32,3.03,0.20,1.93,0.13,0.71,23.75,20.14,,0.10,0.08,0.08,1.25,30.31,2.94,27.35,2.35,16.44,
bv-qspiflash_dualflexpress_divthree-p006.smt2,,,6,8,8,139,20,143,210,8,195,185,92,188,,,46.50,41.64,unsat,9.14,0.27,0.01,0.06,0.01,0.17,7.09,6.01,,0.03,0.08,0.08,0.49,8.81,0.85,7.94,0.98,4.61,
bv-qspiflash_dualflexpress_divthree-p007.smt2,,,,25,24,1396,1857,544,15463,138,1688,1652,8419,1671,,,507.89,480.65,timeout,899.98,16.18,1.12,10.07,0.73,3.80,819.07,671.99,,9.94,0.09,0.08,9.50,884.97,314.87,570.02,17.39,444.07,
bv-qspiflash_dualflexpress_divthree-p010.smt2,,,,28,27,970,854,496,9839,162,1258,1228,5204,1249,,,412.02,394.62,timeout,899.98,21.76,1.40,15.71,0.67,3.81,585.24,474.57,,5.43,0.09,0.08,7.07,639.62,188.77,450.76,12.65,353.65,
bv-qspiflash_dualflexpress_divthree-p012.smt2,,,,23,22,1231,1177,530,9524,56,1390,1344,5005,1376,,,473.78,456.08,timeout,899.97,61.14,4.18,45.89,2.10,8.43,763.51,645.93,,5.42,0.09,0.08,8.48,860.63,179.88,680.68,15.07,528.38,
bv-qspiflash_dualflexpress_divthree-p032.smt2,,,,18,17,1754,1019,316,8651,46,1965,1945,3075,1957,,,516.33,497.65,timeout,899.98,7.01,0.35,3.41,0.37,2.45,798.47,666.91,,6.88,0.09,0.08,11.35,854.61,241.49,613.07,20.46,468.90,
bv-qspiflash_dualflexpress_divthree-p034.smt2,,,,17,16,1722,547,629,8952,242,1868,1864,4781,1875,,,493.21,474.59,timeout,899.99,12.23,0.75,7.33,0.53,3.18,834.54,682.60,,7.12,0.09,0.08,11.00,892.44,247.34,645.04,19.97,498.50,
bv-qspiflash_dualflexpress_divthree-p046.smt2,,,15,15,15,285,160,346,2946,22,558,541,1779,549,,,118.27,107.28,unsat,61.07,1.03,0.04,0.31,0.06,0.54,51.99,42.55,,0.65,0.08,0.08,1.88,60.13,16.91,43.18,3.60,28.91,
bv-qspiflash_dualflexpress_divthree-p054.smt2,,,,16,15,1423,949,368,7881,65,1547,1535,3206,1543,,,500.03,481.34,timeout,899.98,6.42,0.36,3.19,0.30,2.25,573.86,485.13,,6.40,0.09,0.08,8.45,618.65,189.16,429.44,15.47,329.86,
bv-qspiflash_dualflexpress_divthree-p068.smt2,,,,18,17,1464,242,401,5126,41,1582,1565,2153,1576,,,436.25,418.09,timeout,899.98,6.18,0.34,2.93,0.33,2.18,554.07,465.60,,2.39,0.09,0.08,8.71,590.75,109.79,480.90,15.60,382.74,
bv-qspiflash_dualflexpress_divthree-p069.smt2,,,,19,18,1393,348,436,4641,77,1535,1516,1919,1528,,,433.60,415.13,timeout,899.98,5.39,0.27,2.51,0.28,1.98,550.54,460.57,,2.97,0.09,0.08,8.39,587.01,111.26,475.69,15.23,376.38,
bv-qspiflash_dualflexpress_divthree-p075.smt2,,,,23,22,1502,2283,206,15831,42,1639,1610,7662,1622,,,546.68,529.89,timeout,899.98,7.48,0.41,4.11,0.33,2.33,795.82,633.51,,10.81,0.08,0.08,8.92,856.19,389.96,466.15,16.17,351.85,
bv-qspiflash_dualflexpress_divthree-p076.smt2,,,,37,36,950,2213,403,15472,97,1370,1327,7696,1377,,,435.26,417.85,timeout,899.99,4.43,0.23,1.91,0.25,1.72,525.94,418.48,,7.13,0.09,0.08,7.99,570.09,222.80,347.17,13.71,264.80,
bv-qspiflash_dualflexpress_divthree-p085.smt2,,,34,35,35,381,1362,622,15141,38,1074,1046,9226,1086,,,366.93,328.40,unsat,472.47,3.12,0.14,1.20,0.18,1.31,436.04,327.81,,4.79,0.09,0.08,5.95,469.41,178.05,291.24,10.36,228.25,
bv-qspiflash_dualflexpress_divthree-p094.smt2,,,,23,22,1100,527,256,4950,29,1254,1228,1955,1245,,,422.04,403.54,timeout,899.98,6.84,0.38,3.83,0.32,1.93,491.70,424.70,,2.69,0.08,0.08,7.57,526.41,93.28,433.07,14.13,351.59,
bv-qspiflash_dualflexpress_divthree-p106.smt2,,,,23,22,1365,979,390,8285,113,1460,1432,3462,1465,,,545.59,527.24,timeout,899.98,6.65,0.32,3.25,0.28,2.36,751.03,609.75,,8.45,0.09,0.08,8.98,801.76,229.24,572.45,16.44,460.22,
bv-qspiflash_dualflexpress_divthree-p111.smt2,,,,41,40,1372,1381,532,16626,80,1691,1669,9434,1696,,,523.36,496.00,timeout,899.97,6.78,0.32,3.30,0.32,2.34,780.29,581.33,,11.08,0.08,0.08,10.08,840.62,342.03,498.45,18.62,368.68,
bv-qspiflash_dualflexpress_divthree-p113.smt2,,,,28,27,1533,1979,306,12244,51,1718,1692,5837,1704,,,537.05,509.67,timeout,899.98,9.83,0.61,5.61,0.44,2.81,678.35,544.16,,5.96,0.08,0.08,10.38,733.28,227.54,505.66,17.93,376.13,
bv-qspiflash_dualflexpress_divthree-p121.smt2,,,,18,17,1392,538,386,6425,76,1508,1499,3387,1508,,,1615.91,1441.76,timeout,899.98,6.61,0.38,3.33,0.33,2.24,637.80,522.07,,3.42,0.09,0.08,9.04,677.16,154.15,522.96,15.91,414.83,
bv-qspiflash_dualflexpress_divthree-p124.smt2,,,,27,26,1272,1538,398,13485,98,1485,1461,6409,1477,,,473.57,454.89,timeout,899.97,7.70,0.47,4.24,0.35,2.28,630.54,526.97,,9.62,0.09,0.08,8.80,684.60,285.93,398.58,15.55,300.89,
bv-qspiflash_dualflexpress_divthree-p134.smt2,,,,17,16,1568,560,345,8191,97,1788,1770,3646,1782,,,477.15,458.44,timeout,899.95,8.94,0.54,4.86,0.44,2.69,667.34,552.15,,5.72,0.09,0.08,10.06,717.15,197.51,519.59,18.24,395.99,
bv-qspiflash_dualflexpress_divthree-p136.smt2,,,,14,13,1669,35,313,3881,25,1732,1735,1547,1739,,,466.57,447.98,timeout,899.97,13.53,0.81,8.41,0.54,3.35,797.88,679.88,,1.82,0.09,0.08,11.42,848.55,145.60,702.91,20.33,563.30,
bv-qspiflash_dualflexpress_divthree-p141.smt2,,,36,37,37,404,776,381,6735,45,831,806,3466,831,,,201.34,185.47,unsat,159.39,1.77,0.07,0.62,0.10,0.80,140.36,110.24,,2.04,0.08,0.08,3.59,158.04,58.30,99.61,6.52,69.09,
bv-qspiflash_dualflexpress_divthree-p143.smt2,,,2,2,2,6,,3,8,,9,6,3,6,,,24.93,19.34,unsat,0.29,0.01,,0.00,,0.01,0.12,0.09,,,0.09,0.08,,0.14,0.04,0.10,0.00,0.05,
bv-qspiflash_dualflexpress_divthree-p151.smt2,,,,20,19,1361,1130,321,11803,111,1665,1639,5603,1654,,,480.01,461.59,timeout,899.97,7.82,0.41,4.30,0.36,2.33,658.18,528.44,,8.12,0.09,0.08,9.82,711.89,269.80,442.04,17.42,329.26,
