index,result,sat_count,uns_count,unk_count,low_bound,high_bound,avg_bound,low_real,high_real,avg_real,low_time,high_timeavg_time,low_mem,high_mem,avg_mem,avg_time,high_time
bv-vgasim_imgfifo-p064,unsat,0,10,1,-1,-1,-1,0.46,731.67,104.6790909090909,0.39,,30.0,1935.0,929.5454545454545,227.2690909090909,1322.59
bv-vgasim_imgfifo-p066,unsat,0,10,1,-1,-1,-1,0.17,173.17,16.978181818181817,0.09,,18.0,1967.0,604.4545454545455,20.151818181818182,173.1
bv-vgasim_imgfifo-p070,unsat,0,10,1,-1,-1,-1,0.62,3167.17,710.6163636363636,0.59,,21.0,16763.0,5209.181818181818,3100.7827272727272,10058.63
bv-vgasim_imgfifo-p075,unsat,0,1,1,-1,-1,-1,0.52,3600.1,3270.5236363636363,0.39,,25.0,37659.0,7714.909090909091,19295.29909090909,38184.86
bv-vgasim_imgfifo-p082,unsat,0,10,1,-1,-1,-1,0.44,612.7,75.64181818181818,0.39,,25.0,1641.0,894.6363636363636,155.87545454545455,612.6
bv-vgasim_imgfifo-p088,unsat,0,1,1,-1,-1,-1,0.23,3600.1,3270.6863636363637,0.19,,34.0,30832.0,10310.818181818182,20277.851818181818,42737.13
bv-vgasim_imgfifo-p089,unsat,0,10,1,-1,-1,-1,0.46,358.35,47.77,0.39,,25.0,1568.0,779.8181818181819,99.10545454545455,441.58
bv-vgasim_imgfifo-p093,unsat,0,10,1,-1,-1,-1,0.17,317.32,62.14181818181818,0.09,,25.0,2103.0,1002.1818181818181,180.44727272727275,1277.16
bv-vgasim_imgfifo-p099,unsat,0,10,1,-1,-1,-1,0.45,333.3,45.76,0.39,,26.0,1484.0,782.4545454545455,98.06272727272727,449.16
bv-vgasim_imgfifo-p105,unsat,0,10,1,-1,-1,-1,0.41,254.96,29.555454545454545,0.29,,30.0,1453.0,679.4545454545455,51.03,254.89
bv-vgasim_imgfifo-p109,unsat,0,9,1,-1,-1,-1,0.49,3600.1,660.2954545454545,0.39,,21.0,8000.0,2405.818181818182,2054.38,14398.28
bv-vgasim_imgfifo-p110,unsat,0,1,1,-1,-1,-1,0.61,3600.12,3270.6845454545455,0.49,,25.0,27549.0,7981.727272727273,20384.03090909091,43204.43
bv-vgasim_imgfifo-p111,unsat,0,1,1,-1,-1,-1,0.23,3600.11,3270.5763636363636,0.19,,31.0,34245.0,10414.363636363636,20635.914545454547,41964.57
bv-vis_arrays_am2901,sat,6,1,0,-1,17,5.2727272727272725,0.2,3600.1,1361.861818181818,0.05,,16.0,9913.0,1846.4545454545455,3019.0463636363634,14497.71
bv-vis_arrays_am2910_p1,unsat,0,9,1,-1,-1,-1,0.15,3600.1,330.20363636363635,0.07,,15.0,5430.0,679.2727272727273,330.70363636363635,3599.98
bv-vis_arrays_am2910_p2,unsat,0,9,1,-1,-1,-1,0.04,3600.09,327.7390909090909,0.0,,0.0,3044.0,363.90909090909093,327.6963636363636,3599.86
bv-vis_arrays_am2910_p3,unsat,0,9,1,-1,-1,-1,0.08,3600.1,329.77181818181816,0.0,,0.0,6187.0,764.1818181818181,330.7145454545455,3600.03
bv-vis_arrays_buf_bug,sat,10,1,0,-1,28,10.272727272727273,0.25,7.42,2.2172727272727273,0.25,,9.0,980.0,276.0,7.897272727272727,38.46
bv-vis_arrays_bufferAlloc,unsat,0,5,1,-1,-1,-1,1.11,3600.1,2237.57,0.99,,13.0,104417.0,12136.363636363636,12627.678181818183,50905.69
bv-zipcpu-busdelay-p00,unsat,0,6,1,-1,-1,-1,1.55,3600.1,1670.7563636363636,1.49,,16.0,53599.0,6402.727272727273,6535.683636363637,30341.12
bv-zipcpu-busdelay-p15,unsat,0,10,1,-1,-1,-1,0.62,150.32,30.01909090909091,0.59,,16.0,2075.0,670.3636363636364,92.14636363636363,755.0
bv-zipcpu-busdelay-p30,unsat,0,7,0,-1,-1,-1,0.82,3600.1,1436.4572727272728,0.79,,14.0,21820.0,3363.909090909091,4792.268181818182,18104.22
bv-zipcpu-busdelay-p36,unsat,0,7,0,-1,-1,-1,1.45,3600.1,1370.3145454545454,1.39,,16.0,9581.0,2517.181818181818,4190.828181818182,18105.6
bv-zipcpu-busdelay-p43,unsat,0,10,1,-1,-1,-1,0.14,32.98,5.957272727272727,0.09,,12.0,922.0,360.45454545454544,7.8,32.9
bv-zipcpu-busdelay-p46,unsat,0,7,0,-1,-1,-1,1.31,3600.1,1421.8027272727272,1.19,,14.0,19455.0,3070.2727272727275,4655.009090909091,18106.24
bv-zipcpu-busdelay-p47,unsat,0,9,1,-1,-1,-1,0.96,3600.1,479.91090909090906,0.89,,17.0,2861.0,989.3636363636364,1411.5536363636365,12037.29
bv-zipcpu-pfcache-p01,unsat,0,10,1,-1,-1,-1,0.17,654.99,86.95454545454545,0.09,,22.0,2686.0,1286.3636363636363,301.4481818181818,2636.84
bv-zipcpu-pfcache-p02,unsat,0,10,1,-1,-1,-1,0.17,472.18,62.42545454545455,0.09,,21.0,1900.0,1012.4545454545455,216.45363636363638,1901.14
bv-zipcpu-pfcache-p13,unsat,0,10,1,-1,-1,-1,0.39,376.42,36.04727272727273,0.29,,35.0,7971.0,1364.6363636363637,40.05,376.4
bv-zipcpu-pfcache-p20,unsat,0,10,1,-1,-1,-1,0.11,88.48,8.774545454545455,0.0,,0.0,1785.0,541.4545454545455,9.637272727272727,88.39
bv-zipcpu-pfcache-p22,unsat,0,9,1,-1,-1,-1,0.38,3600.1,558.9263636363636,0.29,,28.0,9663.0,2179.090909090909,1744.3227272727272,11578.97
bv-zipcpu-pfcache-p24,unsat,0,10,1,-1,-1,-1,0.32,474.42,76.04272727272728,0.28,,26.0,2680.0,1299.3636363636363,241.91545454545454,1909.61
bv-zipcpu-pfcache-p27,unsat,0,10,1,-1,-1,-1,0.11,43.17,4.606363636363636,0.0,,0.0,1922.0,516.0909090909091,5.171818181818182,43.09
bv-zipcpu-pfcache-p28,unsat,0,10,1,-1,-1,-1,0.18,484.92,45.86909090909091,0.09,,17.0,13123.0,1842.5454545454545,49.267272727272726,484.9
bv-zipcpu-zipmmu-p00,unsat,0,7,2,-1,-1,-1,1.04,3600.1,909.2754545454545,0.99,,27.0,21747.0,4420.454545454545,2345.5009090909093,12284.12
bv-zipcpu-zipmmu-p02,unsat,0,6,1,-1,-1,-1,1.18,3600.1,1502.2481818181818,1.08,,19.0,22093.0,4217.636363636364,5558.925454545455,24029.63
bv-zipcpu-zipmmu-p09,unsat,0,10,1,-1,-1,-1,0.04,299.92,27.87636363636364,0.0,,0.0,1131.0,438.27272727272725,29.135454545454543,299.9
bv-zipcpu-zipmmu-p14,unsat,0,10,1,-1,-1,-1,0.45,2819.4,599.6981818181819,0.39,,27.0,68035.0,7681.545454545455,1844.5118181818182,9219.05
bv-zipcpu-zipmmu-p26,unsat,0,7,1,-1,-1,-1,0.99,3600.1,1321.9918181818182,0.88,,20.0,17835.0,3325.0,4428.880909090909,15757.62
bv-zipcpu-zipmmu-p31,unsat,0,9,1,-1,-1,-1,0.92,3600.1,448.73454545454547,0.89,,17.0,25900.0,2806.909090909091,2302.752727272727,23666.39
bv-zipcpu-zipmmu-p33,unsat,0,6,1,-1,-1,-1,1.04,3600.1,1543.341818181818,0.99,,23.0,11876.0,2951.7272727272725,5633.492727272727,23306.75
bv-zipcpu-zipmmu-p39,unsat,0,8,1,-1,-1,-1,0.38,3600.1,679.2527272727273,0.29,,28.0,6776.0,1420.5454545454545,1435.4645454545453,11521.38
bv-zipcpu-zipmmu-p48,unsat,0,10,1,-1,-1,-1,0.89,2412.81,525.3236363636364,0.79,,22.0,8549.0,2207.2727272727275,1939.709090909091,8343.64
bv-zipversa_composecrc_prf-p00,unsat,0,10,1,-1,-1,-1,0.04,6.28,0.9327272727272727,0.0,,0.0,917.0,233.0909090909091,0.9963636363636363,6.2
bv-zipversa_composecrc_prf-p03,unknown,0,0,1,-1,-1,-1,3575.72,3600.1,3597.8772727272726,3599.51,,93.0,67200.0,10028.454545454546,16521.64181818182,52574.08
bv-zipversa_composecrc_prf-p07,unsat,0,10,1,-1,-1,-1,0.03,48.6,4.7736363636363635,0.0,,0.0,839.0,214.1818181818182,4.824545454545454,48.5
bv-zipversa_composecrc_prf-p10,unsat,0,1,2,-1,-1,-1,16.49,3600.1,3036.610909090909,64.45,,236.0,43480.0,11052.272727272728,18468.85,35998.03
