index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_is_reach
bv-qspiflash_dualflexpress_divfive-p037.smt2,,,,,,15,17,17,,285,,472,287,3648,44,657,648,1751,7,,655,2,31,9,2,145.92,128.67,unsat,89.44,0.90,0.04,0.33,0.07,0.38,71.65,58.61,,1.15,0.02,0.02,6.85,88.26,25.34,62.86,8.23,3.38,38.63,0.07,0.18
bv-qspiflash_dualflexpress_divfive-p050.smt2,,,,,,,30,29,,1340,,1143,275,9431,40,1799,1899,3925,,5,1911,,86,19,,484.02,420.26,timeout,899.98,4.32,0.21,1.96,0.25,1.34,762.62,614.13,,6.64,0.02,0.02,35.85,857.37,227.68,629.59,43.22,26.00,441.87,0.53,
bv-qspiflash_dualflexpress_divfive-p054.smt2,,,,,,,28,27,,1085,,1486,186,15526,94,1442,1459,7916,,2,1483,,41,10,,450.19,384.69,timeout,899.99,3.86,0.23,1.88,0.24,1.19,718.00,548.90,,9.09,0.03,0.02,28.53,799.36,352.72,446.54,34.28,18.40,300.62,0.37,
bv-qspiflash_dualflexpress_divfive-p058.smt2,,,,,,29,29,29,1,156,,285,143,4072,19,463,397,2398,,,435,,35,14,,94.00,87.22,unsat,46.75,0.57,0.03,0.20,0.04,0.24,37.58,28.13,,0.57,0.02,0.02,3.24,46.30,15.69,30.51,4.08,1.36,18.46,0.06,
bv-qspiflash_dualflexpress_divfive-p074.smt2,,60,,,,,77,76,142,533,,4422,45,21889,101,1610,729,10413,,3,1516,,137,117,,361.06,296.28,timeout,899.98,5.07,0.31,2.60,0.30,1.58,803.45,609.46,,6.69,0.02,0.02,21.14,872.61,316.46,555.86,25.22,15.32,415.04,0.72,
bv-qspiflash_dualflexpress_divfive-p079.smt2,,,,,,15,27,27,,188,,452,239,3761,17,529,482,1780,1,,508,1,,1,1,114.68,98.40,unsat,66.90,0.88,0.05,0.37,0.06,0.33,55.80,43.75,,0.76,0.02,0.02,3.00,66.10,21.99,44.02,4.01,2.10,28.24,0.04,0.00
bv-qspiflash_dualflexpress_divfive-p092.smt2,,,,,,15,15,15,,183,,139,111,924,14,329,301,411,,,323,,4,1,,62.13,54.03,unsat,20.70,0.31,0.01,0.09,0.02,0.15,16.02,12.58,,0.11,0.02,0.02,1.81,20.37,3.09,17.24,2.38,0.74,10.24,0.03,
bv-qspiflash_dualflexpress_divfive-p097.smt2,,,,,,10,26,26,,68,,145,146,2779,2,332,256,1271,,,307,,,,,62.49,56.42,unsat,27.70,0.47,0.02,0.17,0.03,0.20,22.08,16.68,,0.41,0.02,0.02,1.60,27.33,11.36,15.88,2.08,0.79,8.95,,
bv-qspiflash_dualflexpress_divfive-p112.smt2,,,,,,33,48,48,,140,,874,197,8581,7,930,723,4462,,,890,,,,,172.79,158.93,unsat,220.03,2.07,0.10,0.94,0.14,0.69,200.28,154.51,,1.75,0.02,0.02,2.52,219.39,69.61,149.62,4.50,4.59,113.42,,
bv-qspiflash_dualflexpress_divfive-p116.smt2,,5,,,,,29,28,4,1258,,667,221,11499,88,1665,1658,7123,4,4,1676,1,580,54,1,465.83,402.19,timeout,899.99,4.29,0.23,2.04,0.26,1.46,709.90,539.18,,4.79,0.02,0.02,20.18,782.53,221.07,561.36,26.77,23.73,399.53,0.94,0.04
bv-qspiflash_dualflexpress_divfive-p120.smt2,,,,,,,80,79,3,397,,2261,49,15744,18,1731,1515,7390,,,1700,,11,14,,302.64,262.48,timeout,899.99,7.02,0.33,3.32,0.36,1.81,758.69,559.96,,4.74,0.02,0.02,34.32,843.40,239.87,603.25,39.40,16.82,437.31,0.56,
bv-qspiflash_dualflexpress_divfive-p126.smt2,,3,,,,,27,26,,1123,,1013,138,12272,20,1468,1455,5567,,2,1477,,253,26,,448.63,389.65,timeout,899.99,3.59,0.20,1.82,0.21,1.11,607.77,504.28,,8.01,0.02,0.02,15.52,674.25,284.34,389.82,20.64,19.22,271.81,0.53,
bv-qspiflash_dualflexpress_divfive-p127.smt2,,10,,,,,38,37,,1146,,988,130,15388,98,1559,1554,9903,,6,1563,,465,59,,462.77,444.06,timeout,899.99,4.33,0.23,2.12,0.27,1.31,760.27,581.15,,6.49,0.03,0.03,16.97,839.85,297.97,541.75,23.31,30.21,379.42,1.12,
bv-qspiflash_dualflexpress_divfive-p128.smt2,,,,,,30,33,33,,196,,349,326,6766,24,649,599,4954,,4,689,,,4,,199.22,172.75,unsat,139.23,1.44,0.09,0.65,0.09,0.51,120.64,89.59,,0.62,0.02,0.02,6.72,137.91,36.38,101.41,8.35,3.47,71.40,0.09,
bv-qspiflash_dualflexpress_divfive-p133.smt2,,,,,,,27,26,,667,,226,104,4945,32,967,923,2944,,1,941,,339,31,,405.95,380.57,timeout,899.98,1.51,0.08,0.62,0.10,0.56,174.70,140.88,,1.04,0.03,0.02,5.43,197.00,47.86,149.05,7.92,7.00,104.24,0.36,
bv-qspiflash_dualflexpress_divfive-p135.smt2,,1,,,,,31,30,2,1182,,692,191,9704,75,1503,1512,5998,,7,1532,,547,51,,453.67,388.02,timeout,899.98,3.96,0.23,1.98,0.22,1.28,631.37,508.84,,3.59,0.02,0.02,18.53,694.75,171.03,523.61,24.39,20.13,384.49,0.85,
bv-qspiflash_dualflexpress_divfive-p136.smt2,,3,,,,,28,27,,1183,,915,269,9417,149,1466,1482,5918,5,1,1493,2,160,26,2,432.53,366.94,timeout,899.99,3.10,0.17,1.30,0.21,1.18,394.80,284.48,,2.17,0.02,0.02,16.68,447.09,108.24,338.75,21.82,16.67,223.82,0.61,0.06
bv-qspiflash_dualflexpress_divfive-p143.smt2,,,,,,2,2,2,,9,,,3,11,,12,10,3,,,9,,,,,24.90,14.59,unsat,0.15,0.00,,0.00,,0.00,0.05,0.04,,,0.02,0.02,0.00,0.07,0.02,0.05,0.00,,0.02,,
bv-qspiflash_dualflexpress_divfive-p154.smt2,,18,,,,,33,32,3,1250,,1037,256,9699,52,1589,1650,4948,12,8,1653,2,536,69,2,459.76,450.06,timeout,899.99,4.01,0.21,1.94,0.24,1.35,552.06,420.34,,4.71,0.02,0.02,25.87,624.13,166.03,457.98,31.31,19.75,308.43,1.01,1.19
bv-qspiflash_dualflexpress_divfive-p161.smt2,,,,,,,30,29,,1003,,3161,102,18415,62,1517,1413,9423,,1,1498,,88,9,,468.87,374.19,timeout,899.99,3.35,0.18,1.60,0.21,1.08,634.59,475.75,,9.77,0.02,0.02,33.05,719.05,328.49,390.45,38.41,18.38,248.12,0.32,
bv-qspiflash_dualflexpress_divfive-p164.smt2,,,,,,27,31,31,1,465,,1882,782,16472,122,1524,1519,11392,8,3,1535,1,245,29,1,500.07,437.42,unsat,725.42,3.48,0.17,1.48,0.24,1.30,650.69,441.77,,6.64,0.02,0.02,21.65,719.57,268.27,451.18,26.99,19.19,310.26,1.03,0.54
bv-qspiflash_dualflexpress_divthree-p005.smt2,,,,,,7,11,11,,138,,85,234,1179,7,326,306,554,,,315,,,,,71.00,63.96,unsat,24.27,2.40,0.16,1.58,0.12,0.49,16.50,12.93,,0.21,0.02,0.02,1.76,23.38,5.07,18.27,2.33,1.08,9.08,,
bv-qspiflash_dualflexpress_divthree-p006.smt2,,,,,,6,9,9,,81,,22,93,492,2,149,138,314,,,141,,,,,34.10,31.37,unsat,5.66,0.14,0.01,0.05,0.01,0.07,3.78,2.81,,0.03,0.02,0.02,0.80,5.43,1.03,4.38,1.00,0.17,2.08,,
bv-qspiflash_dualflexpress_divthree-p007.smt2,,,,,,,27,26,,1029,,1161,174,10959,80,1569,1367,4653,,,1551,,,,,392.28,331.25,timeout,899.99,12.82,1.02,7.87,0.65,3.02,766.70,636.15,,5.54,0.02,0.02,15.90,840.00,234.14,605.77,20.96,21.57,462.99,,
bv-qspiflash_dualflexpress_divthree-p010.smt2,,,,,,,37,36,12,737,,853,299,12727,18,1252,976,7281,,,1196,,118,44,,404.54,344.54,timeout,899.97,46.48,2.97,34.45,1.64,6.34,771.99,597.55,,5.67,0.02,0.02,19.69,876.55,261.58,614.84,23.73,16.53,457.34,0.61,
bv-qspiflash_dualflexpress_divthree-p012.smt2,,,,,,,22,21,,980,,1093,137,10730,113,1258,1215,5347,,,1246,,,,,435.91,372.32,timeout,899.97,22.35,1.43,16.09,0.84,3.56,775.54,624.60,,5.82,0.02,0.02,24.06,866.04,261.94,604.02,28.48,21.42,458.50,,
bv-qspiflash_dualflexpress_divthree-p032.smt2,,,3,,3,,36,35,,1202,,2121,619,17591,140,1674,1546,11014,,,1663,,58,15,,464.38,398.80,timeout,899.99,4.59,0.24,2.19,0.26,1.54,738.02,528.67,,10.21,0.02,0.02,40.53,840.47,325.02,515.31,46.88,25.14,326.35,0.48,
bv-qspiflash_dualflexpress_divthree-p034.smt2,,4,,,,,26,25,18,830,,692,222,6946,143,1146,1056,3178,,1,1149,,173,46,,478.28,420.35,timeout,899.96,7.90,0.53,5.12,0.37,1.61,380.86,314.38,,3.50,0.02,0.02,19.12,434.62,117.09,317.45,22.74,11.33,226.88,0.21,
bv-qspiflash_dualflexpress_divthree-p046.smt2,,,,,,9,15,15,,164,,129,169,1199,9,315,292,543,,,303,,,,,60.06,53.99,unsat,19.52,0.30,0.01,0.10,0.02,0.14,13.90,11.15,,0.17,0.02,0.02,2.50,19.02,4.61,14.36,3.01,0.77,7.29,0.02,
bv-qspiflash_dualflexpress_divthree-p054.smt2,,,2,,1,,24,23,1,1460,,987,245,12727,80,1866,1861,6044,,1,1882,,43,18,,475.05,419.41,timeout,899.97,4.48,0.25,2.22,0.29,1.39,684.70,553.36,,7.68,0.02,0.02,33.65,779.93,257.16,522.69,41.52,26.45,343.51,0.45,
bv-qspiflash_dualflexpress_divthree-p068.smt2,,,,,,,31,30,1,1035,,1577,200,13791,68,1434,1358,6983,7,1,1438,2,92,25,2,475.67,433.40,timeout,899.97,3.62,0.20,1.74,0.23,1.21,542.45,433.71,,7.16,0.02,0.02,33.99,621.05,246.72,374.22,38.96,15.18,243.43,0.27,0.25
bv-qspiflash_dualflexpress_divthree-p069.smt2,,,2,,8,,24,23,,1214,,1177,176,11206,80,1519,1503,5203,,,1527,,,,,420.21,355.12,timeout,899.99,3.41,0.18,1.60,0.23,1.13,600.94,469.56,,6.19,0.02,0.02,40.18,689.18,229.22,459.88,46.05,19.74,300.93,0.09,
bv-qspiflash_dualflexpress_divthree-p075.smt2,,,,,,12,14,14,,232,,318,271,2363,19,545,518,1225,,,532,,2,2,,112.22,100.42,unsat,57.03,0.74,0.04,0.27,0.05,0.30,45.17,35.17,,0.51,0.02,0.02,4.01,56.04,13.28,42.71,5.18,2.61,25.48,0.04,
bv-qspiflash_dualflexpress_divthree-p076.smt2,,,,,,16,35,35,,202,,856,412,8380,25,793,658,4493,,,761,,11,2,,196.84,177.06,unsat,213.21,2.06,0.11,0.95,0.13,0.67,186.07,139.65,,3.06,0.02,0.02,5.54,211.13,81.52,129.49,7.60,6.33,90.96,0.05,
bv-qspiflash_dualflexpress_divthree-p085.smt2,,,,,,15,35,35,,141,,767,282,6064,16,633,523,3165,,,603,,,,,132.85,118.84,unsat,112.44,1.39,0.07,0.60,0.09,0.48,92.33,66.81,,1.43,0.02,0.02,7.62,111.33,39.27,71.94,9.08,3.27,44.68,0.07,
bv-qspiflash_dualflexpress_divthree-p094.smt2,,,,,,,28,27,1,1141,,2730,84,11872,98,1513,1393,4606,,,1469,,130,32,,490.82,432.11,timeout,899.99,4.53,0.23,2.42,0.26,1.24,767.14,646.81,,6.32,0.03,0.02,23.78,841.48,195.17,646.21,29.14,20.37,503.03,0.87,
bv-qspiflash_dualflexpress_divthree-p106.smt2,,,,,,,26,25,,993,,1055,189,10524,111,1415,1357,4429,,,1399,,,,,436.01,371.02,timeout,899.99,5.01,0.24,2.53,0.24,1.58,700.40,563.66,,9.68,0.03,0.02,34.17,831.71,258.21,573.41,40.65,58.10,378.78,0.31,
